terme;categorie;registre;definition;contexte;occurrences;source
barbon;mot;familier / vieilli;Homme âgé, souvent avec une nuance moqueuse.;Elle me fit faux bond pour un vieux barbon, la petite ingrate,;1;CNRTL – TLFi
bedeau;mot;religion / ancien;Personne chargée de fonctions matérielles dans une église, notamment de l’entretien et du service.;L'maître d'école et ses potaches, le maire, le bedeau, le bougnat, négligeaient carrément leur tâche pour voir ça;2;CNRTL – TLFi
biniou;mot;musique / régional;Instrument à vent traditionnel breton, apparenté à la cornemuse.;De n'avoir pas, Su faire cas, De ton biniou;1;CNRTL – TLFi
braire;verbe;littéraire;"Crier, en parlant de l’âne ; par extension, crier d’une voix désagréable.";Elle eut beau pousser des sanglots, Braire à tue-tête, Comme je n'étais qu'un salaud, J'me fis honnête;2;CNRTL – TLFi
coi;mot;vx / littéraire;Calme, tranquille, silencieux. S’emploie surtout dans « rester, demeurer, se tenir coi ».;Qu'je m'démène ou qu'je reste coi, Je passe pour un je-ne-sais-quoi !;1;CNRTL – TLFi
contre-vérité;mot;soutenu;Affirmation contraire à la vérité, généralement présentée comme vraie.;Que, de vos vérités, vos contrevérités, Tout le monde s'en fiche à l'unanimité De vos épurations, vos collaborations, Vos abominations et vos désolations;1;Académie française / CNRTL
contrecœur;expression;courant;Avec répugnance, sans en avoir envie.;Mais ça m'tracasse et d'ailleurs, J'les enterre à contrecœur;1;CNRTL – TLFi
couillonnades;expression;familier / vulgaire;Sottises, bêtises ou choses sans importance.;Soit dit sans couillonnades avait le nom d'un ad-jectif démonstratif;1;CNRTL – TLFi
coulpe;mot;religion / littéraire;"Faute, culpabilité ; surtout dans l’expression « battre sa coulpe ».";Le criminel saisi d'un zèle expiatoire, Qui bat sa coulpe bourrelé par le remords,;1;CNRTL – TLFi
cul-terreux;mot;familier / péjoratif;"Paysan, habitant de la campagne ; par extension, personne jugée rustre ou inculte.";Quand j'croise un voleur malchanceux, Poursuivi par un cul-terreux,;2;CNRTL – TLFi
désespérance;mot;littéraire;"État de désespoir profond ; absence presque totale d’espérance.";Mais qui suivaient ce mort et la désespérance,;1;CNRTL – TLFi
faire de vieux os;expression;familier;Rester longtemps dans un lieu ou y vivre longtemps.;Depuis que je commence à faire de vieux os, Avide de conseils, souvent un jouvenceau;1;Expression idiomatique
gargotière;mot;vieilli / populaire;Petite auberge ou restaurant très modeste où l’on mange simplement.;Madame ma gargotière, Comme je lui dois trop de sous;1;CNRTL – TLFi
gentilhommière;mot;littéraire / ancien;"Maison de campagne appartenant à un gentilhomme ; par extension, maison de plaisance à la campagne.";Je changerais ma chaumière, Pour une gentilhommière;1;CNRTL – TLFi
gouailleur;mot;familier;Qui se moque avec esprit, raille volontiers et manifeste de la gouaille.;Oncle Archibald, d'un ton gouailleur, Lui dit : « Va-t'en faire pendre ailleurs, Ton squelette;1;CNRTL – TLFi
goupillon;mot;religion;Petit instrument muni de poils ou de mèches servant à asperger d’eau bénite.;Et l'on courut à toutes jambes, Quérir un goupillon mais;3;CNRTL – TLFi
génitoires;mot;anatomie / soutenu;Organes génitaux.;Et j'étais là, tout nu, sur le bord du trottoire, Exhibant, malgré moi, mes humbles génitoires.;2;CNRTL – TLFi
halieutique;mot;technique;Relatif à la pêche et, plus particulièrement, aux activités de pêche.;On dirait un fanatique, De la cause halieutique, Avec sa belle canne et, Son moulinet.;1;CNRTL – TLFi
